garden	basement	elevator	balcony	floor (storey)	nmbr of rooms	construction year	unemployment	Anteil Gruenenwaehler	price
FALSE	TRUE	TRUE	FALSE	2	1	1964	1	2	0
FALSE	TRUE	FALSE	FALSE	-1	1	1954	3	2	0
FALSE	TRUE	FALSE	TRUE	1	1	1972	2	1	0
FALSE	TRUE	FALSE	FALSE	1	1.5	1900	3	3	0
FALSE	TRUE	FALSE	FALSE	1	1	1973	1	3	0
FALSE	TRUE	FALSE	FALSE	-1	1	1972	3	1	0
FALSE	FALSE	TRUE	FALSE	-1	1	1963	3	1	0
FALSE	TRUE	TRUE	FALSE	-1	1.5	1964	1	2	0
FALSE	FALSE	FALSE	TRUE	3	1.5	1967	1	2	0
FALSE	TRUE	TRUE	TRUE	3	1	1972	1	2	0
FALSE	FALSE	FALSE	FALSE	3	1	1986	1	2	0
FALSE	TRUE	FALSE	TRUE	1	1	1972	1	1	0
FALSE	TRUE	TRUE	FALSE	1	1.5	1964	1	2	0
FALSE	TRUE	FALSE	FALSE	1	2.5	1961	1	2	0
FALSE	TRUE	FALSE	TRUE	-1	2	1950	2	2	0
FALSE	FALSE	FALSE	TRUE	-1	1.5	1977	2	1	0
FALSE	FALSE	FALSE	TRUE	-1	1.5	1977	2	1	0
TRUE	TRUE	TRUE	TRUE	2	2	1953	3	1	0
FALSE	TRUE	FALSE	TRUE	-1	2	1950	2	2	0
FALSE	TRUE	FALSE	FALSE	-1	2	1950	2	2	0
TRUE	TRUE	FALSE	FALSE	-1	1	1967	2	1	0
TRUE	TRUE	FALSE	TRUE	-1	1	1972	2	3	0
FALSE	FALSE	TRUE	FALSE	7	1	1966	2	3	0
FALSE	TRUE	FALSE	FALSE	-1	1.5	1972	3	2	0
FALSE	TRUE	FALSE	TRUE	-1	1	1973	1	1	1
FALSE	TRUE	FALSE	FALSE	-1	1.5	1972	3	2	0
FALSE	TRUE	FALSE	FALSE	-1	1	1975	2	1	0
FALSE	TRUE	TRUE	FALSE	6	1	1972	1	2	0
FALSE	FALSE	FALSE	TRUE	2	1	1980	1	2	1
FALSE	FALSE	FALSE	FALSE	4	2	1956	3	2	0
FALSE	FALSE	FALSE	TRUE	2	1	1980	1	2	1
FALSE	TRUE	FALSE	TRUE	1	2	1957	3	1	0
TRUE	TRUE	FALSE	FALSE	-1	1.5	1972	3	1	0
FALSE	TRUE	TRUE	TRUE	3	1.5	2021	3	1	1
FALSE	FALSE	TRUE	TRUE	2	2	1970	3	1	0
FALSE	TRUE	FALSE	FALSE	2	2	1970	3	1	0
FALSE	FALSE	TRUE	FALSE	4	1.5	1968	1	3	0
FALSE	TRUE	FALSE	FALSE	1	2	1972	3	2	0
FALSE	TRUE	TRUE	FALSE	5	2	1964	1	2	0
TRUE	TRUE	FALSE	FALSE	-1	1	1964	3	1	0
FALSE	TRUE	FALSE	TRUE	1	1	1970	1	1	0
FALSE	TRUE	TRUE	TRUE	-1	2	1959	3	1	0
FALSE	FALSE	FALSE	FALSE	2	1.5	1957	1	2	0
FALSE	FALSE	FALSE	TRUE	2	1.5	1957	1	2	0
FALSE	TRUE	TRUE	TRUE	-1	1	1970	1	3	1
FALSE	FALSE	FALSE	TRUE	-1	2	1965	3	1	0
FALSE	TRUE	TRUE	TRUE	-1	1	1969	2	3	0
FALSE	FALSE	FALSE	FALSE	2	1	1984	2	1	0
FALSE	TRUE	FALSE	TRUE	3	1.5	1970	3	1	0
FALSE	FALSE	FALSE	FALSE	3	2	1993	1	2	0
FALSE	TRUE	FALSE	TRUE	-1	2	1954	2	1	0
FALSE	TRUE	FALSE	FALSE	-1	2	1940	2	2	0
FALSE	TRUE	FALSE	FALSE	-1	1.5	1949	2	3	0
FALSE	TRUE	TRUE	TRUE	3	2	1981	2	1	0
FALSE	TRUE	FALSE	TRUE	4	2	1937	3	1	0
FALSE	TRUE	FALSE	TRUE	1	2	1968	1	1	0
FALSE	TRUE	FALSE	FALSE	-1	1.5	1959	1	2	1
FALSE	FALSE	FALSE	FALSE	1	2	1953	2	2	0
FALSE	TRUE	FALSE	TRUE	1	2	1954	2	1	0
FALSE	TRUE	TRUE	FALSE	4	1.5	1969	1	2	0
FALSE	TRUE	FALSE	FALSE	-1	2	1960	1	2	0
FALSE	TRUE	FALSE	TRUE	-1	2	1955	2	2	0
FALSE	TRUE	FALSE	FALSE	-1	2	1957	1	2	0
FALSE	TRUE	FALSE	FALSE	1	1.5	1951	3	3	0
FALSE	FALSE	FALSE	TRUE	4	1.5	1934	3	3	0
FALSE	TRUE	FALSE	FALSE	4	2	1937	3	1	0
FALSE	TRUE	FALSE	FALSE	-1	2	1950	2	2	0
FALSE	TRUE	FALSE	FALSE	4	2	1959	3	2	0
FALSE	FALSE	TRUE	TRUE	1	1	1972	3	1	1
FALSE	FALSE	FALSE	FALSE	-1	2.5	1966	1	1	0
FALSE	TRUE	FALSE	TRUE	-1	2.5	1967	2	1	0
FALSE	TRUE	TRUE	TRUE	2	1	1985	3	1	0
FALSE	TRUE	FALSE	TRUE	-1	2	1982	2	1	0
FALSE	FALSE	FALSE	TRUE	-1	2	1965	2	2	0
FALSE	TRUE	FALSE	TRUE	-1	2	1955	2	2	0
FALSE	TRUE	FALSE	TRUE	-1	2	1955	2	2	0
FALSE	FALSE	FALSE	FALSE	-1	1	1957	3	1	1
FALSE	TRUE	TRUE	FALSE	4	1	1910	3	3	1
FALSE	TRUE	TRUE	FALSE	2	2	1964	1	2	0
TRUE	TRUE	FALSE	TRUE	-1	2	1964	3	1	0
TRUE	TRUE	FALSE	TRUE	2	2	1960	2	3	0
FALSE	TRUE	TRUE	FALSE	7	2	1995	2	1	0
FALSE	TRUE	FALSE	TRUE	2	2	1970	2	1	0
FALSE	TRUE	FALSE	TRUE	1	1	1955	2	2	1
FALSE	TRUE	FALSE	TRUE	2	2	1962	2	1	0
FALSE	TRUE	TRUE	TRUE	1	1	1976	2	3	0
FALSE	TRUE	TRUE	FALSE	10	2	1967	2	3	0
FALSE	TRUE	TRUE	FALSE	-1	1	1994	3	3	0
FALSE	TRUE	FALSE	TRUE	-1	2	1964	3	1	0
FALSE	FALSE	FALSE	TRUE	2	1	1973	1	1	0
TRUE	FALSE	TRUE	TRUE	-1	2	2015	3	1	0
FALSE	FALSE	TRUE	FALSE	12	3	1963	3	1	0
FALSE	TRUE	FALSE	FALSE	1	3	1973	1	1	0
FALSE	FALSE	FALSE	FALSE	-1	2	1958	3	2	0
FALSE	TRUE	TRUE	TRUE	3	2	1965	1	1	0
FALSE	TRUE	FALSE	FALSE	2	1	1982	3	1	0
FALSE	TRUE	FALSE	FALSE	4	2.5	1959	2	2	0
FALSE	TRUE	FALSE	TRUE	2	1.5	1952	1	3	1
